0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:36:25 +0900] "GET /food_list.food?area=N&ord=coded HTTP/1.1" 200 16060
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:36:26 +0900] "GET /food_list.food?area=N&ord=coded HTTP/1.1" 200 16060
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:36:26 +0900] "GET /food_list.food?area=N&ord=coded HTTP/1.1" 200 16060
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:36:26 +0900] "GET /food_list.food?area=N&ord=coded HTTP/1.1" 200 16060
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:36:26 +0900] "GET /food_list.food?area=N&ord=coded HTTP/1.1" 200 16060
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:36:42 +0900] "GET /food_list.food?area=N&ord=coded HTTP/1.1" 200 16060
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:36:42 +0900] "GET /food_list.food?area=N&ord=coded HTTP/1.1" 200 16060
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:36:58 +0900] "GET /food_list.food?area=N&ord=coded HTTP/1.1" 200 16060
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:37:28 +0900] "GET /index.jsp HTTP/1.1" 200 6384
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:37:29 +0900] "GET /food_list.food HTTP/1.1" 200 21360
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:37:35 +0900] "GET /food_list.food?ord=coded&psize=9&keyword=&cpage=2 HTTP/1.1" 200 16295
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:37:35 +0900] "GET /common//images/FoodImg/002_01.jpg HTTP/1.1" 200 248177
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:37:35 +0900] "GET /common//images/FoodImg/003_01.jpg HTTP/1.1" 200 20237
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:37:35 +0900] "GET /common//images/FoodImg/001_01.jpg HTTP/1.1" 200 113375
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:37:39 +0900] "GET /food_list.food?ord=coded&psize=9&keyword=&cpage=1 HTTP/1.1" 200 21360
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:38:05 +0900] "GET /food_list.food?ord=coded&psize=9&keyword=&cpage=1 HTTP/1.1" 200 21360
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:38:10 +0900] "GET /food_list.food?ord=coded&psize=9&keyword=&cpage=1 HTTP/1.1" 200 21360
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:38:13 +0900] "GET /food_list.food?ord=coded&psize=9&keyword=&cpage=2 HTTP/1.1" 200 16295
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:38:13 +0900] "GET /common/images/FoodImg/jejuMap.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:38:13 +0900] "GET /common/images/InfoImg/star5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:38:13 +0900] "GET /common/images/InfoImg/star4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:38:13 +0900] "GET /common/images/InfoImg/star3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:38:17 +0900] "GET /food_list.food?ord=coded&psize=9&keyword=&cpage=1 HTTP/1.1" 200 21360
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:38:17 +0900] "GET /common/images/InfoImg/star2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:38:17 +0900] "GET /common/images/InfoImg/star0.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:38:17 +0900] "GET /common/images/InfoImg/star1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:40:01 +0900] "GET /food_list.food?ord=coded&psize=9&keyword=&cpage=1 HTTP/1.1" 200 21855
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:42:26 +0900] "GET /food_list.food?ord=coded&psize=9&keyword=&cpage=1 HTTP/1.1" 200 21855
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:42:26 +0900] "GET /common/images/FoodImg/jejuMap.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:42:26 +0900] "GET /common/images/InfoImg/star2.png HTTP/1.1" 304 -
